sample_id	cluster_id	size	mean	std
313935-S	0	1682	0.4237712196511055	0.020163953863928788
313935-TC1-2	0	1682	0.5455520689959197	0.022283990507644742
313935-TP2-1	0	1682	0.9999394742601416	0.0007798906295579823
313935-TP	0	1682	0.32889803365745846	0.02135599541606134
313935-TC	0	1682	0.9853196340430845	0.01480677732413641
313935-S	1	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	1	1	0.7166453743609308	0.20954109921333164
313935-TP2-1	1	1	0.5000000000000003	0.2915475947422644
313935-TP	1	1	0.5000000000000003	0.2915475947422644
313935-TC	1	1	0.5000000000000003	0.2915475947422644
313935-S	2	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	2	1	0.6830243385015295	0.22280279389192603
313935-TP2-1	2	1	0.5000000000000003	0.2915475947422644
313935-TP	2	1	0.5000000000000003	0.2915475947422644
313935-TC	2	1	0.5000000000000003	0.2915475947422644
313935-S	3	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	3	1	0.5000000000000003	0.2915475947422644
313935-TP2-1	3	1	0.5000000000000003	0.2915475947422644
313935-TP	3	1	0.7090426183086916	0.2099988148701492
313935-TC	3	1	0.5000000000000003	0.2915475947422644
313935-S	4	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	4	1	0.6935039616268631	0.2196476911130277
313935-TP2-1	4	1	0.5000000000000003	0.2915475947422644
313935-TP	4	1	0.5000000000000003	0.2915475947422644
313935-TC	4	1	0.5000000000000003	0.2915475947422644
313935-S	5	1	0.6924181753496841	0.2155262164188851
313935-TC1-2	5	1	0.5000000000000003	0.2915475947422644
313935-TP2-1	5	1	0.5000000000000003	0.2915475947422644
313935-TP	5	1	0.5000000000000003	0.2915475947422644
313935-TC	5	1	0.5000000000000003	0.2915475947422644
313935-S	6	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	6	1	0.7813668979367052	0.18061128142246147
313935-TP2-1	6	1	0.5000000000000003	0.2915475947422644
313935-TP	6	1	0.5000000000000003	0.2915475947422644
313935-TC	6	1	0.5000000000000003	0.2915475947422644
313935-S	7	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	7	1	0.704531857575664	0.2161121029905818
313935-TP2-1	7	1	0.5000000000000003	0.2915475947422644
313935-TP	7	1	0.5000000000000003	0.2915475947422644
313935-TC	7	1	0.5000000000000003	0.2915475947422644
313935-S	8	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	8	1	0.704531857575664	0.2161121029905818
313935-TP2-1	8	1	0.5000000000000003	0.2915475947422644
313935-TP	8	1	0.5000000000000003	0.2915475947422644
313935-TC	8	1	0.5000000000000003	0.2915475947422644
313935-S	9	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	9	1	0.7922985525845412	0.17000358207947008
313935-TP2-1	9	1	0.5000000000000003	0.2915475947422644
313935-TP	9	1	0.5000000000000003	0.2915475947422644
313935-TC	9	1	0.5000000000000003	0.2915475947422644
313935-S	10	1	0.5000000000000003	0.2915475947422644
313935-TC1-2	10	1	0.5000000000000003	0.2915475947422644
313935-TP2-1	10	1	0.5000000000000003	0.2915475947422644
313935-TP	10	1	0.652620062741415	0.22534947918245912
313935-TC	10	1	0.5000000000000003	0.2915475947422644
313935-S	11	76	0.9934420124033012	0.010255228651196647
313935-TC1-2	11	76	0.9877780461568788	0.01621157624342167
313935-TP2-1	11	76	0.9437041099751629	0.05837519190003208
