sample_id	cluster_id	size	mean	std
SRR3670033	0	418	0.3948776048421894	0.021544472541489793
SRR3670034	0	418	0.4137663706050388	0.024077528564468202
SRR3670035	0	418	0.4064466061101259	0.027346126180403427
SRR3670036	0	418	0.6447198685137462	0.03712578639197542
SRR3670037	0	418	0.4336991772833998	0.022509637798308803
SRR3670033	1	102	0.1764078501528563	0.02203113051109116
SRR3670034	1	102	0.18480582430579853	0.021425646075865345
SRR3670035	1	102	0.1473988194045098	0.02630483248857934
SRR3670036	1	102	0.24762121136542373	0.0267370814058506
SRR3670037	1	102	0.1791710358349976	0.02314074213488938
SRR3670033	2	196	0.9976849751197376	0.005237236370642974
SRR3670034	2	196	0.9980841620399296	0.004691135512709766
SRR3670035	2	196	0.9959100775365292	0.007296873619302133
SRR3670036	2	196	0.999543358808222	0.0021795040099248536
SRR3670037	2	196	0.9969479399700009	0.006151799832249566
SRR3670033	3	58	0.7431614601266516	0.11747528961696617
SRR3670034	3	58	0.6621945416360662	0.08856190650044202
SRR3670035	3	58	0.6942923382518558	0.1367952156982261
SRR3670036	3	58	0.9253937240521005	0.058682713320053745
SRR3670037	3	58	0.7046921572177328	0.11104504939112812
