cytoband	13q14.2	1p36.31	9p21.3	4q35.1	8p23.2	6q27	19p13.3	17p13.1	10q23.31	16q23.1	2q22.1	12q24.33	14q23.3	3p13	1p36.11	14q32.33	12p12.1	10q26.13	4q21.3	11q23.3	17p11.2	2q37.3	11q14.1	18q21.2	8p12	20p12.1	15q26.3	4q24	22q13.32	Xq26.2	9q31.3	4p16.3	22q12.1	7q36.3	
q value	2.2515e-37	1.1606e-33	3.0821e-22	1.8058e-23	2.1187e-19	3.4191e-15	4.7028e-08	3.9592e-10	2.1093e-09	7.8009e-06	7.7465e-07	2.3723e-05	9.195e-08	6.4295e-05	1.6679e-20	8.4799e-08	0.0008113	5.7505e-06	3.0903e-07	0.00030497	0.0001026	0.0022356	0.0030474	0.019373	0.00033726	0.051716	0.056724	7.0927e-07	0.05307	0.12335	0.12467	0.14149	0.095859	0.24831	
residual q value	2.2515e-37	5.8593e-25	3.0821e-22	8.3673e-21	1.3308e-17	3.5424e-15	4.7028e-08	1.1033e-07	1.8833e-07	7.7482e-06	8.242e-06	2.3615e-05	4.5372e-05	6.2497e-05	0.0004787	0.0007843	0.0008113	0.0019901	0.0073441	0.0073441	0.0077403	0.0085087	0.013032	0.019595	0.033891	0.05124	0.056577	0.081694	0.10696	0.12214	0.12903	0.13968	0.15584	0.25529	
wide peak boundaries	chr13:48875329-49064807	chr1:1-6847369	chr9:21931610-22003135	chr4:185200319-185674312	chr8:3548028-4251283	chr6:169649200-170153593	chr19:1-5455610	chr17:1-10358937	chr10:89617158-89755074	chr16:78098006-79299841	chr2:140708948-143637838	chr12:122439370-133851895	chr14:66963153-67658112	chr3:70016017-71729299	chr1:16785565-33285595	chr14:95113281-107349540	chr12:22837283-24365820	chr10:105613884-135534747	chr4:66534835-95376252	chr11:102825636-135006516	chr17:15923099-16246015	chr2:234985548-243199373	chr11:82995735-85348794	chr18:40857296-78077248	chr8:31454518-33231036	chr20:13964029-16252980	chr15:87570102-102531392	chr4:87847398-115525698	chr22:44205320-51304566	chrX:132542482-133309860	chr9:93403988-141213431	chr4:1-30734965	chr22:28314430-29085838	chr7:99583749-159138663	
genes in wide peak	RB1	snoU13|ENSG00000239166.1	CDKN2A	SNORD79	RN7SL872P	TCTE3	RN7SL626P	RCVRN	SNORD74|ENSG00000200891.1	RNA5SP431	RN7SL283P	ANHX	GPHN	FOXP1	ZBTB8OS	RNA5SP389	SOX5	MIR3944	RNA5SP164	snoU13|ENSG00000238693.1	MIR1288	CXXC11	DLG2	RBFA	RNA5SP263	RNA5SP475	DDX11L9	RN7SL184P	ARSA	GPC3	FAM157B	RN7SL101P	RN7SL162P	LINC00689	
	LPAR6	LINC00337	C9orf53	CASP3	RNA5SP251	PHF10	MIR4747	GLP2R	PTEN	PIH1	LRP1B	ZNF891		MIR1284	ZBTB8B	LINC00221	MIR920	TUBGCP2	RN7SKP248	RNU6ATAC12P	RN7SL442P	RNA5SP122	TMEM126B	RBFADN	RNA5SP262	RN7SL864P	WASH3P	TIFA	RN7SL500P	MIR106A	TUBBP5	SNORD74|ENSG00000200999.1	SNORD42|ENSG00000201209.1	MIR595	
		RN7SL574P		IRF2		WDR27	UHRF1	STX8	KLLN	WWOX		ZNF140			RN7SL122P	LINC00226		C10orf91	GPRIN3	RN7SL167P	NCOR1	MIR3133		SALL3	RNA5SP261	FLRT3	FAM138E	C4orf32	DENND6B	MIR19B2	MRPL41	RN7SL16P	RN7SL757P	RN7SL142P	
		MIR551A		MLF1IP		C6orf120	RN7SL121P	RN7SL129P				RNU4ATAC12P			MTMR9LP	ADAM6		BNIP3	RN7SKP244	LINC00167		RNPEPL1		RNA5SP461	NRG1	MACROD2	OR4F13P	ENPEP	TTLL8	MIR92A2	snoU13|ENSG00000272272.1	snoU13|ENSG00000238383.1	TTC28	SHH	
		MEGF6		CCDC111			LRG1	SNORA69|ENSG00000212206.1				RNA5SP379			MIR5585	KIAA0125		PPP2R2D	RNU6ATAC31P	KCNJ5		MIR149		SNORA25|ENSG00000199392.1			RN7SL209P	RN7SL275P	ALG12	MIR363	RNF224	RNA5SP157		RN7SKP280	
		LINC00982					HDGFRP2	CTC1				LRCOL1			MIR4254	IGHJ1		LINC00959	IBSP	RN7SKP279		MIR2467		GALR1			DNM1P47	CCDC109B	RN7SKP252	MIR20B	TMEM210	FAM184B		HTR5A	
		TTC34					RN7SL528P	MIR3676				MUC8			FABP3	IGHJ2		MIR4297	snoU13|ENSG00000238652.1	RN7SKP121		MIR4441		LINC00683			snoU13|ENSG00000238502.1	MIR576	CDPF1	MIR18B	MIR3621	MED28		RN7SL845P	
