Patient_ID	Tumor_Sample_Barcode	Chromosome	Start_Position	End_Position	CopyNumber
HCC5647	T1	1	138488	6479452	2
HCC5647	T1	1	6504488	120906360	2
HCC5647	T1	1	144921930	157805992	6
HCC5647	T1	1	157809143	160394321	2
HCC5647	T1	1	160604266	165877230	8
HCC5647	T1	1	166029772	247615408	2
HCC5647	T1	1	247654224	249212637	3
HCC5647	T1	2	41449	119740224	1
HCC5647	T1	2	119914242	135676625	1
HCC5647	T1	2	135710768	135745486	4
HCC5647	T1	2	135893141	179345725	2
HCC5647	T1	2	179392963	179417071	4
HCC5647	T1	2	179417075	179702514	3
HCC5647	T1	2	180810065	219564239	1
HCC5647	T1	2	219646878	238249291	1
HCC5647	T1	2	238249296	238253479	4
HCC5647	T1	2	238268712	242946660	1
HCC5647	T1	3	239350	36780136	2
HCC5647	T1	3	36869663	36899054	6
HCC5647	T1	3	37032714	48694998	2
HCC5647	T1	3	49845169	49848998	7
HCC5647	T1	3	49849180	50006166	3
HCC5647	T1	3	50197068	87018436	2
HCC5647	T1	3	87276594	197847371	1
HCC5647	T1	4	53238	9785064	2
HCC5647	T1	4	10078956	71346913	2
HCC5647	T1	4	71508024	190904716	2
HCC5647	T1	5	140384	23526678	2
HCC5647	T1	5	31526028	76012640	2
HCC5647	T1	5	76249309	82817178	2
HCC5647	T1	5	82817179	82837515	4
HCC5647	T1	5	82837518	118604758	2
HCC5647	T1	5	118969706	121187805	4
HCC5647	T1	5	121187809	121413698	1
HCC5647	T1	5	122110788	138730736	2
HCC5647	T1	5	138732106	138738403	5
HCC5647	T1	5	138739580	140482478	2
HCC5647	T1	5	140866195	140869464	7
HCC5647	T1	5	140869469	150945843	2
HCC5647	T1	5	151138005	176563054	2
HCC5647	T1	5	176729371	180687851	2
HCC5647	T1	6	203388	7569539	2
HCC5647	T1	6	7579636	7584766	6
HCC5647	T1	6	7584767	10415268	2
HCC5647	T1	6	10419566	12292706	4
HCC5647	T1	6	12749797	24798239	2
HCC5647	T1	6	26017701	27219868	2
HCC5647	T1	6	27278458	34760140	2
HCC5647	T1	6	34855511	42672534	2
HCC5647	T1	6	42689449	42832708	5
HCC5647	T1	6	42832709	47446133	2
HCC5647	T1	6	47845959	70071390	2
HCC5647	T1	6	70506626	111581079	2
HCC5647	T1	6	112408473	149867168	2
HCC5647	T1	6	150038957	170871464	2
HCC5647	T1	7	193415	5983707	2
HCC5647	T1	7	6026482	20445859	3
HCC5647	T1	7	20682799	100663507	2
HCC5647	T1	7	100675346	100695226	5
HCC5647	T1	7	100730616	121944500	2
HCC5647	T1	7	122337803	141385394	2
HCC5647	T1	7	142459689	142636978	2
HCC5647	T1	7	143001992	143098791	3
HCC5647	T1	7	143929370	151805440	2
HCC5647	T1	7	151845230	151879689	8
HCC5647	T1	7	152142473	158902747	2
HCC5647	T1	8	182713	17942289	2
HCC5647	T1	8	18729061	25902519	2
HCC5647	T1	8	26240603	42819583	2
HCC5647	T1	8	48641464	59572228	2
HCC5647	T1	8	64098733	64122413	6
HCC5647	T1	8	65285915	70982064	2
HCC5647	T1	8	71520269	74791145	2
HCC5647	T1	8	75156791	99441095	2
HCC5647	T1	8	107670217	128753230	2
HCC5647	T1	8	132051557	139736861	2
HCC5647	T1	8	139889811	146278799	2
HCC5647	T1	9	116864	27212854	2
HCC5647	T1	9	27949338	34646897	3
HCC5647	T1	9	34647000	34835585	6
HCC5647	T1	9	34971277	35811492	3
HCC5647	T1	9	35811576	43628357	3
HCC5647	T1	9	66457080	96847112	2
HCC5647	T1	9	97080889	125140278	2
HCC5647	T1	9	125140542	125797860	4
HCC5647	T1	9	125877311	141071784	2
HCC5647	T1	10	93002	5541433	2
HCC5647	T1	10	5557671	23003281	2
HCC5647	T1	10	23481431	25010780	4
HCC5647	T1	10	26500723	43701544	3
HCC5647	T1	10	43870879	44053471	7
HCC5647	T1	10	44868375	129868149	1
HCC5647	T1	10	131557385	135491369	1
HCC5647	T1	11	193051	4615311	2
HCC5647	T1	11	4660967	4870561	6
HCC5647	T1	11	4880863	5373825	4
HCC5647	T1	11	5410635	5537682	5
HCC5647	T1	11	5631983	5906442	3
HCC5647	T1	11	6226835	7693866	2
HCC5647	T1	11	7750009	7983016	5
HCC5647	T1	11	8111632	48149548	2
HCC5647	T1	11	48366929	56468822	3
HCC5647	T1	11	56949340	57509470	2
HCC5647	T1	11	57509497	59225350	3
HCC5647	T1	11	59522998	62439559	2
HCC5647	T1	11	62443864	63357886	2
HCC5647	T1	11	63381465	78387612	2
HCC5647	T1	11	78440291	123601647	2
HCC5647	T1	11	124028981	134257887	2
HCC5647	T1	12	91954	53774169	2
HCC5647	T1	12	53818432	54686954	2
HCC5647	T1	12	54756571	56076242	2
HCC5647	T1	12	56077468	56217441	2
HCC5647	T1	12	56221001	56488047	3
HCC5647	T1	12	56493458	56717430	2
HCC5647	T1	12	56814300	57555066	2
HCC5647	T1	12	57556057	57626140	2
HCC5647	T1	12	57626144	58023009	2
HCC5647	T1	12	58165804	77158179	2
HCC5647	T1	12	79685497	108642132	2
HCC5647	T1	12	108910734	120598113	2
HCC5647	T1	12	120649604	133808210	2
HCC5647	T1	13	19751019	20717428	2
HCC5647	T1	13	20762784	43930169	1
HCC5647	T1	13	45147210	45149476	5
HCC5647	T1	13	45149481	61988108	1
HCC5647	T1	13	67799498	103390527	2
HCC5647	T1	13	103390531	103400641	5
HCC5647	T1	13	103400644	110435283	2
HCC5647	T1	13	110435354	115047717	2
HCC5647	T1	14	19553435	20850262	3
HCC5647	T1	14	20850291	21852017	1
HCC5647	T1	14	21896061	94756937	1
HCC5647	T1	14	94832354	94936268	5
HCC5647	T1	14	95029756	106478343	1
HCC5647	T1	14	106518475	107259812	3
HCC5647	T1	15	20279335	22319061	1
HCC5647	T1	15	22319118	22466269	3
HCC5647	T1	15	22466274	29561910	1
HCC5647	T1	15	30114159	33261690	2
HCC5647	T1	15	34129658	34649864	3
HCC5647	T1	15	34654300	34782578	1
HCC5647	T1	15	35044655	41100304	2
HCC5647	T1	15	41105777	42868069	2
HCC5647	T1	15	42982578	43803462	2
HCC5647	T1	15	43813472	43817161	6
HCC5647	T1	15	43817162	50475068	2
HCC5647	T1	15	50544614	59064484	2
HCC5647	T1	15	59225557	64673675	2
HCC5647	T1	15	64791986	64970654	5
HCC5647	T1	15	65108447	65489975	2
HCC5647	T1	15	65489978	77325401	2
HCC5647	T1	15	77406437	77474289	4
HCC5647	T1	15	77906386	78390410	1
HCC5647	T1	15	78398048	79748809	2
HCC5647	T1	15	79748812	83776604	2
HCC5647	T1	15	85164386	90119696	2
HCC5647	T1	15	90166863	102389808	2
HCC5647	T1	16	97450	424935	1
HCC5647	T1	16	425118	3199803	2
HCC5647	T1	16	3293013	3407111	3
HCC5647	T1	16	3486450	4524268	2
HCC5647	T1	16	4557695	8620040	2
HCC5647	T1	16	8736223	8740487	4
HCC5647	T1	16	8870076	9185989	2
HCC5647	T1	16	9856995	9862846	4
HCC5647	T1	16	10273807	12182104	2
HCC5647	T1	16	12618487	20981264	2
HCC5647	T1	16	21170548	23464414	2
HCC5647	T1	16	23497215	25228790	2
HCC5647	T1	16	25251092	25268436	4
HCC5647	T1	16	25703778	27709794	2
HCC5647	T1	16	27751338	29982915	2
HCC5647	T1	16	29990084	30583576	2
HCC5647	T1	16	30585017	30718827	1
HCC5647	T1	16	30731964	32937019	2
HCC5647	T1	16	33379957	81712222	1
HCC5647	T1	16	81725283	88923747	1
HCC5647	T1	16	88926089	90162570	1
HCC5647	T1	17	6003	1554302	1
HCC5647	T1	17	1610849	3101747	1
HCC5647	T1	17	3427518	6909882	1
HCC5647	T1	17	6915915	18996976	1
HCC5647	T1	17	19186240	19285749	3
HCC5647	T1	17	19286101	19288831	6
HCC5647	T1	17	19289646	26898579	2
HCC5647	T1	17	26900391	26962780	4
HCC5647	T1	17	26971996	27038763	2
HCC5647	T1	17	27044197	27278027	2
HCC5647	T1	17	27283667	27285116	7
HCC5647	T1	17	27285844	27944782	2
HCC5647	T1	17	27945023	27994191	5
HCC5647	T1	17	28088107	36398335	2
HCC5647	T1	17	36482502	37557726	2
HCC5647	T1	17	37627188	39412024	2
HCC5647	T1	17	39431955	39465721	5
HCC5647	T1	17	39471484	41026333	2
HCC5647	T1	17	41116075	41246664	3
HCC5647	T1	17	41276982	56349339	2
HCC5647	T1	17	56355275	56565699	2
HCC5647	T1	17	56603949	61838746	2
HCC5647	T1	17	61894891	61911778	4
HCC5647	T1	17	61914532	65074740	2
HCC5647	T1	17	65105201	66416671	3
HCC5647	T1	17	66417852	73922524	2
HCC5647	T1	17	73974499	74283992	2
HCC5647	T1	17	74303308	81083360	2
HCC5647	T1	18	480628	9256307	2
HCC5647	T1	18	9887526	21595061	2
HCC5647	T1	18	28991097	31326643	3
HCC5647	T1	18	31802944	39629613	2
HCC5647	T1	18	40853596	42533414	5
HCC5647	T1	18	42550000	55863047	2
HCC5647	T1	18	56202933	56247760	5
HCC5647	T1	18	56401510	61089587	2
HCC5647	T1	18	67068427	72264828	2
HCC5647	T1	18	72342926	72347359	5
HCC5647	T1	18	72592848	77927009	2
HCC5647	T1	19	281411	8933442	2
HCC5647	T1	19	9045524	9091346	5
HCC5647	T1	19	9091350	30303952	2
HCC5647	T1	19	30308004	30313495	7
HCC5647	T1	19	30314479	56290341	2
HCC5647	T1	19	56320513	58018865	3
HCC5647	T1	19	58089924	59084372	2
HCC5647	T1	20	68259	3145747	2
HCC5647	T1	20	3146047	9547062	2
HCC5647	T1	20	10620166	33298177	2
HCC5647	T1	20	33442323	34214736	2
HCC5647	T1	20	34218618	56191493	2
HCC5647	T1	20	56195194	58515052	2
HCC5647	T1	20	58563929	62871248	2
HCC5647	T1	21	9825960	42735846	2
HCC5647	T1	21	42735848	43325947	2
HCC5647	T1	21	43410954	45527386	2
HCC5647	T1	21	45534429	47735083	2
HCC5647	T1	21	47735140	47746460	3
HCC5647	T1	21	47754273	47985777	2
HCC5647	T1	21	47986216	47987536	3
HCC5647	T1	21	48068326	48084365	1
HCC5647	T1	22	16287266	22324780	1
HCC5647	T1	22	22385409	22471952	3
HCC5647	T1	22	22556098	36055733	1
HCC5647	T1	22	36122584	36662112	4
HCC5647	T1	22	36678647	42084777	1
HCC5647	T1	22	42089418	51208080	1
HCC5647	T1	X	69645586	69650072	3
HCC5647	T1	X	100743459	100880279	2
HCC5647	T3	1	138488	23191724	2
HCC5647	T3	1	23219245	120906360	2
HCC5647	T3	1	144921930	159751253	6
HCC5647	T3	1	159799578	160389352	2
HCC5647	T3	1	160390216	166040057	6
HCC5647	T3	1	166123917	200881085	2
HCC5647	T3	1	200881180	247615408	2
HCC5647	T3	1	247654224	248738115	9
HCC5647	T3	1	249106160	249212637	2
HCC5647	T3	2	41449	88991523	1
HCC5647	T3	2	91936016	148657233	1
HCC5647	T3	2	149226182	149247707	7
HCC5647	T3	2	149402564	179345725	2
HCC5647	T3	2	179392963	179641857	6
HCC5647	T3	2	179658036	220283492	1
HCC5647	T3	2	220283544	242946660	1
HCC5647	T3	3	239350	113342447	2
HCC5647	T3	3	113373792	113379408	7
HCC5647	T3	3	113464649	140866206	1
HCC5647	T3	3	141497117	197847371	1
HCC5647	T3	4	53238	10117891	1
HCC5647	T3	4	10118243	13604762	4
HCC5647	T3	4	13604766	190904716	2
HCC5647	T3	5	140384	5303768	2
HCC5647	T3	5	5457390	5465023	5
HCC5647	T3	5	6312501	23510125	2
HCC5647	T3	5	31526028	74981306	2
HCC5647	T3	5	76249309	78533529	2
HCC5647	T3	5	78610050	79034912	6
HCC5647	T3	5	82815103	82838149	7
HCC5647	T3	5	82940158	111496699	2
HCC5647	T3	5	111755244	112228453	6
HCC5647	T3	5	112256773	115783544	2
HCC5647	T3	5	118468783	132160931	3
HCC5647	T3	5	132160935	138729544	2
HCC5647	T3	5	138729548	138737740	7
HCC5647	T3	5	138738226	139745464	2
HCC5647	T3	5	139927211	140307679	2
HCC5647	T3	5	140307683	140731316	3
HCC5647	T3	5	140731413	147041083	2
HCC5647	T3	5	148407355	150911560	2
HCC5647	T3	5	150922447	150948475	10
HCC5647	T3	5	153432464	153677654	9
HCC5647	T3	5	153709069	154181826	3
HCC5647	T3	5	156738642	168244434	2
HCC5647	T3	5	169532948	175717307	2
HCC5647	T3	5	175792543	176524706	2
HCC5647	T3	5	176562103	176729902	8
HCC5647	T3	5	176729944	180687851	2
HCC5647	T3	6	203388	10419866	2
HCC5647	T3	6	10529174	12164612	7
HCC5647	T3	6	12292496	35445382	2
HCC5647	T3	6	35446090	45390376	2
HCC5647	T3	6	45514511	70071390	4
HCC5647	T3	6	70506626	157099968	2
HCC5647	T3	6	157222409	170871464	2
HCC5647	T3	7	193415	5569119	2
HCC5647	T3	7	5569184	21813646	2
HCC5647	T3	7	21945827	82072838	2
HCC5647	T3	7	82543815	82785269	4
HCC5647	T3	7	82785270	100494522	2
HCC5647	T3	7	100547241	100663507	3
HCC5647	T3	7	100675346	100687115	13
HCC5647	T3	7	100694843	121944500	2
HCC5647	T3	7	122337803	123302878	5
HCC5647	T3	7	123332432	158902747	2
HCC5647	T3	8	182713	2092875	2
HCC5647	T3	8	4851832	105106956	2
HCC5647	T3	8	110346113	146278799	2
HCC5647	T3	9	116864	27212854	1
HCC5647	T3	9	27949338	35829995	3
HCC5647	T3	9	35841059	88694316	3
HCC5647	T3	9	89624952	96847112	2
HCC5647	T3	9	97080889	125146294	2
HCC5647	T3	9	125281623	125797860	7
HCC5647	T3	9	125877311	141071784	2
HCC5647	T3	10	93002	12940728	2
HCC5647	T3	10	13040133	44053471	3
HCC5647	T3	10	44868375	52834897	1
HCC5647	T3	10	53457491	70646393	2
HCC5647	T3	10	70715919	90967022	1
HCC5647	T3	10	91066172	92509398	5
HCC5647	T3	10	92616833	98469732	1
HCC5647	T3	10	98714764	98744846	7
HCC5647	T3	10	98760843	129868149	1
HCC5647	T3	10	131557385	135379043	1
HCC5647	T3	11	193051	4411723	2
HCC5647	T3	11	4614930	6221397	7
HCC5647	T3	11	6226835	6704601	2
HCC5647	T3	11	6735772	7983016	5
HCC5647	T3	11	8111632	48149548	2
HCC5647	T3	11	48366929	56468822	6
HCC5647	T3	11	56949340	63680366	2
HCC5647	T3	11	63680367	77301719	2
HCC5647	T3	11	77378083	134257887	2
HCC5647	T3	12	91954	54576601	2
HCC5647	T3	12	54577201	56661906	2
HCC5647	T3	12	56716900	57140773	4
HCC5647	T3	12	57144886	109025704	2
HCC5647	T3	12	109181773	133808210	2
HCC5647	T3	13	19751019	76211056	2
