Patient_ID	Tumor_Sample_Barcode	Chromosome	Start_Position	End_Position	CopyNumber
HCC1252	HCC1252-S	1	12080	1356520	2
HCC1252	HCC1252-S	1	1361424	6659492	2
HCC1252	HCC1252-S	1	6661857	25687257	2
HCC1252	HCC1252-S	1	25688833	29385251	2
HCC1252	HCC1252-S	1	29385297	29387087	7
HCC1252	HCC1252-S	1	29391497	41627035	2
HCC1252	HCC1252-S	1	41627040	41847810	14
HCC1252	HCC1252-S	1	41847900	84963194	2
HCC1252	HCC1252-S	1	84967616	84982242	7
HCC1252	HCC1252-S	1	84986267	104070495	2
HCC1252	HCC1252-S	1	104076439	104077964	36
HCC1252	HCC1252-S	1	104079992	115403506	2
HCC1252	HCC1252-S	1	115417049	115428307	32
HCC1252	HCC1252-S	1	115428750	120548261	2
HCC1252	HCC1252-S	1	120572482	222819045	2
HCC1252	HCC1252-S	1	222821123	222824262	6
HCC1252	HCC1252-S	1	222825197	226485518	2
HCC1252	HCC1252-S	1	226488781	226497438	25
HCC1252	HCC1252-S	1	226497443	247024477	2
HCC1252	HCC1252-S	1	247040334	249223037	2
HCC1252	HCC1252-S	2	41449	96464821	2
HCC1252	HCC1252-S	2	96504489	96591274	4
HCC1252	HCC1252-S	2	96592983	97784165	2
HCC1252	HCC1252-S	2	97784172	98201488	5
HCC1252	HCC1252-S	2	98201495	135710388	2
HCC1252	HCC1252-S	2	135710768	170177452	2
HCC1252	HCC1252-S	2	170218771	170783493	2
HCC1252	HCC1252-S	2	170783790	242946660	2
HCC1252	HCC1252-S	3	239350	15276692	2
HCC1252	HCC1252-S	3	15282006	31921441	2
HCC1252	HCC1252-S	3	32022323	32032500	4
HCC1252	HCC1252-S	3	32148116	32572012	2
HCC1252	HCC1252-S	3	32574475	32578611	6
HCC1252	HCC1252-S	3	32582613	33663840	2
HCC1252	HCC1252-S	3	33668412	33894058	3
HCC1252	HCC1252-S	3	33894090	97852292	2
HCC1252	HCC1252-S	3	97852377	100023832	2
HCC1252	HCC1252-S	3	100025280	127390609	2
HCC1252	HCC1252-S	3	127390920	127391960	9
HCC1252	HCC1252-S	3	127393275	137981685	2
HCC1252	HCC1252-S	3	137988713	160819189	2
HCC1252	HCC1252-S	3	160821113	160965079	4
HCC1252	HCC1252-S	3	160965084	167218163	1
HCC1252	HCC1252-S	3	167223092	167759297	2
HCC1252	HCC1252-S	3	167761195	167764818	10
HCC1252	HCC1252-S	3	167765969	169953260	2
HCC1252	HCC1252-S	3	169977758	170015093	5
HCC1252	HCC1252-S	3	170078078	179104499	2
HCC1252	HCC1252-S	3	179107887	180651307	2
HCC1252	HCC1252-S	3	180652929	180679259	15
HCC1252	HCC1252-S	3	180679261	197904036	2
HCC1252	HCC1252-S	4	53238	438085	3
HCC1252	HCC1252-S	4	438160	69100355	2
HCC1252	HCC1252-S	4	69101705	70361640	3
HCC1252	HCC1252-S	4	70391383	70460262	70
HCC1252	HCC1252-S	4	70460329	190947571	2
HCC1252	HCC1252-S	5	140384	5140934	2
HCC1252	HCC1252-S	5	5146169	80604617	2
HCC1252	HCC1252-S	5	80604668	118176836	2
HCC1252	HCC1252-S	5	118183806	118310400	7
HCC1252	HCC1252-S	5	118323690	180687851	2
HCC1252	HCC1252-S	6	203388	5043074	2
HCC1252	HCC1252-S	6	5085790	47254385	2
HCC1252	HCC1252-S	6	47276989	47471220	11
HCC1252	HCC1252-S	6	47501330	70973079	2
HCC1252	HCC1252-S	6	70976365	71246123	1
HCC1252	HCC1252-S	6	71247943	76380438	2
HCC1252	HCC1252-S	6	76384886	76388642	8
HCC1252	HCC1252-S	6	76405521	79665122	2
HCC1252	HCC1252-S	6	79665321	79671569	8
HCC1252	HCC1252-S	6	79672770	86238147	2
HCC1252	HCC1252-S	6	86239877	90576192	2
HCC1252	HCC1252-S	6	90576195	107088562	2
HCC1252	HCC1252-S	6	107088704	107102645	52
HCC1252	HCC1252-S	6	107102703	116901467	2
HCC1252	HCC1252-S	6	116937794	123539950	2
HCC1252	HCC1252-S	6	123539957	123592384	6
HCC1252	HCC1252-S	6	123594039	126317284	2
HCC1252	HCC1252-S	6	126319243	126320800	7
HCC1252	HCC1252-S	6	126329388	134303870	2
HCC1252	HCC1252-S	6	134303903	134308098	8
HCC1252	HCC1252-S	6	134312096	151790330	2
HCC1252	HCC1252-S	6	151790346	156275821	2
HCC1252	HCC1252-S	6	157099101	157100701	17
HCC1252	HCC1252-S	6	157100848	170115118	2
HCC1252	HCC1252-S	6	170115668	170117957	4
HCC1252	HCC1252-S	6	170140236	170949671	2
HCC1252	HCC1252-S	7	193415	6193574	2
HCC1252	HCC1252-S	7	6193575	6194505	152
HCC1252	HCC1252-S	7	6194506	6684334	2
HCC1252	HCC1252-S	7	6684354	6692742	10
HCC1252	HCC1252-S	7	6692746	56156739	2
HCC1252	HCC1252-S	7	56169540	65084068	3
HCC1252	HCC1252-S	7	65150600	91739545	2
HCC1252	HCC1252-S	7	91742843	91757029	6
HCC1252	HCC1252-S	7	91758070	92765284	2
HCC1252	HCC1252-S	7	92818407	105752745	2
HCC1252	HCC1252-S	7	105752863	105910842	8
HCC1252	HCC1252-S	7	105917549	158930822	2
HCC1252	HCC1252-S	8	14084	43173829	2
HCC1252	HCC1252-S	8	43196994	103372375	3
HCC1252	HCC1252-S	8	103372378	103373947	13
HCC1252	HCC1252-S	8	103424388	124789510	2
HCC1252	HCC1252-S	8	124789515	124818367	10
HCC1252	HCC1252-S	8	124822563	144377829	3
HCC1252	HCC1252-S	8	144377952	146278799	3
HCC1252	HCC1252-S	9	14731	19063814	2
HCC1252	HCC1252-S	9	19102432	33529052	2
HCC1252	HCC1252-S	9	33533374	33558158	7
HCC1252	HCC1252-S	9	33566190	131454131	2
HCC1252	HCC1252-S	9	131454248	131455910	14
HCC1252	HCC1252-S	9	131465048	137968155	2
HCC1252	HCC1252-S	9	137968615	141071784	3
HCC1252	HCC1252-S	10	93002	14978726	2
HCC1252	HCC1252-S	10	14981752	14987249	7
HCC1252	HCC1252-S	10	14990968	27340135	2
HCC1252	HCC1252-S	10	27340140	27368154	7
HCC1252	HCC1252-S	10	27371524	71912443	2
HCC1252	HCC1252-S	10	71917565	71966273	5
HCC1252	HCC1252-S	10	71968814	121339606	2
HCC1252	HCC1252-S	10	121339929	129914833	2
HCC1252	HCC1252-S	10	129917470	135491369	2
HCC1252	HCC1252-S	11	86608	3687835	2
HCC1252	HCC1252-S	11	3688269	3688984	8
HCC1252	HCC1252-S	11	3690327	9310106	2
HCC1252	HCC1252-S	11	9316816	9493037	3
HCC1252	HCC1252-S	11	9494224	16892778	2
HCC1252	HCC1252-S	11	17035506	28143794	2
HCC1252	HCC1252-S	11	28145366	28232654	9
HCC1252	HCC1252-S	11	28232718	32720876	2
HCC1252	HCC1252-S	11	32722077	65306108	2
HCC1252	HCC1252-S	11	65306588	65340568	2
HCC1252	HCC1252-S	11	65340616	73389088	2
HCC1252	HCC1252-S	11	73390566	73427492	7
HCC1252	HCC1252-S	11	73429698	116968974	2
HCC1252	HCC1252-S	11	117014958	117023161	16
HCC1252	HCC1252-S	11	117023165	125445386	2
HCC1252	HCC1252-S	11	125445686	125447411	54
HCC1252	HCC1252-S	11	125447416	134856434	2
HCC1252	HCC1252-S	12	86465	5022070	2
HCC1252	HCC1252-S	12	5153248	6660764	2
HCC1252	HCC1252-S	12	6664468	10575040	2
HCC1252	HCC1252-S	12	10587479	11174980	2
HCC1252	HCC1252-S	12	11175083	11418900	3
HCC1252	HCC1252-S	12	11420100	50831566	2
HCC1252	HCC1252-S	12	50831571	51019876	3
HCC1252	HCC1252-S	12	51034488	67706580	2
HCC1252	HCC1252-S	12	68042835	69326579	2
HCC1252	HCC1252-S	12	69633373	69647008	10
HCC1252	HCC1252-S	12	69650456	79998538	2
HCC1252	HCC1252-S	12	80007268	80084036	47
HCC1252	HCC1252-S	12	80169571	85441250	2
HCC1252	HCC1252-S	12	85445947	85450970	10
HCC1252	HCC1252-S	12	85459012	133808210	2
HCC1252	HCC1252-S	13	19255127	23949434	2
HCC1252	HCC1252-S	13	23985315	98086841	2
HCC1252	HCC1252-S	13	98087008	115070426	2
HCC1252	HCC1252-S	14	19110207	39709876	2
HCC1252	HCC1252-S	14	39716047	39818443	3
HCC1252	HCC1252-S	14	39819261	50911913	2
HCC1252	HCC1252-S	14	50912721	50915664	19
HCC1252	HCC1252-S	14	50923148	57698443	2
HCC1252	HCC1252-S	14	57699362	57866658	3
HCC1252	HCC1252-S	14	57876122	60938256	2
HCC1252	HCC1252-S	14	60938258	60951791	10
HCC1252	HCC1252-S	14	60975930	63784619	2
HCC1252	HCC1252-S	14	63842766	64194338	2
HCC1252	HCC1252-S	14	64194425	70039049	2
HCC1252	HCC1252-S	14	70039128	92491726	2
HCC1252	HCC1252-S	14	92491731	92499543	50
HCC1252	HCC1252-S	14	92499548	103395245	2
HCC1252	HCC1252-S	14	103395372	107282850	2
HCC1252	HCC1252-S	15	20170004	35274203	2
HCC1252	HCC1252-S	15	35274279	35275079	9
HCC1252	HCC1252-S	15	35275129	49834052	2
HCC1252	HCC1252-S	15	49860426	49903520	5
HCC1252	HCC1252-S	15	49907249	62170938	2
HCC1252	HCC1252-S	15	62172805	62174081	5
HCC1252	HCC1252-S	15	62174101	66633533	2
HCC1252	HCC1252-S	15	66792485	66794993	6
HCC1252	HCC1252-S	15	66795054	82530826	2
