Gene_symbol	GENEID	EnsembleID	Description	Chromomsome	Position	Start	End	GENE_TYPE	Source
FGR	2268	ENSG00000000938	feline Gardner-Rasheed sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:3697]	1	1p36.11	27938575	27961788	oncogene	PMID:19292927
NIN	-2194	ENSG00000001167	nuclear transcription factor Y, alpha [Source:HGNC Symbol;Acc:7804]	6	6p21.1	41040684	41067715	oncogene	COSMIC
LASP1	3927	ENSG00000002834	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:6513]	17	17q12	37026112	37078023	oncogene	COSMIC
HOXA11	3207	ENSG00000005073	homeobox A11 [Source:HGNC Symbol;Acc:5101]	7	7p15.2	27221129	27224842	oncogene	COSMIC
SOX8	30812	ENSG00000005513	SRY (sex determining region Y)-box 8 [Source:HGNC Symbol;Acc:11203]	16	16p13.3	1031808	1036979	oncogene	CCGD
ZFX	7543	ENSG00000005889	zinc finger protein, X-linked [Source:HGNC Symbol;Acc:12869]	X	Xp22.11	24167290	24234372	oncogene	CCGD
MAP3K14	-5571	ENSG00000006062	mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:6853]	17	17q21.31	43340488	43394414	oncogene	CCGD
RALA	5898	ENSG00000006451	v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:9839]	7	7p14.1	39663082	39747723	oncogene	PMID:19292927
ETV1	2115	ENSG00000006468	ets variant 1 [Source:HGNC Symbol;Acc:3490]	7	7p21.2	13930853	14031050	oncogene	COSMIC
ELAC2	60528	ENSG00000006744	elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:14198]	17	17p12	12895708	12921504	oncogene	uniprot
GAS7	8522	ENSG00000007237	growth arrest-specific 7 [Source:HGNC Symbol;Acc:4169]	17	17p13.1	9813926	10101868	oncogene	COSMIC
CD79B	974	ENSG00000007312	CD79b molecule, immunoglobulin-associated beta [Source:HGNC Symbol;Acc:1699]	17	17q23.3	62006100	62009714	oncogene	COSMIC
