Patient_ID	Tumor_Sample_Barcode	Chromosome	Start_Position	End_Position	CopyNumber
HCC6046	SRR3670033	1	721411	11190828	1
HCC6046	SRR3670033	1	11193125	41494536	2
HCC6046	SRR3670033	1	41827530	115829470	2
HCC6046	SRR3670033	1	116206097	152085567	3
HCC6046	SRR3670033	1	152086333	153004922	6
HCC6046	SRR3670033	1	153233369	156878134	3
HCC6046	SRR3670033	1	156878498	224378027	3
HCC6046	SRR3670033	1	224424033	247492982	3
HCC6046	SRR3670033	1	247587282	249212637	4
HCC6046	SRR3670033	2	41449	157186728	2
HCC6046	SRR3670033	2	158114640	170092645	3
HCC6046	SRR3670033	2	170148739	179368625	2
HCC6046	SRR3670033	2	179391768	179702514	3
HCC6046	SRR3670033	2	179769994	238234465	2
HCC6046	SRR3670033	2	238242089	238268050	6
HCC6046	SRR3670033	2	238268712	242946660	2
HCC6046	SRR3670033	3	239350	130286071	2
HCC6046	SRR3670033	3	130300372	134278230	2
HCC6046	SRR3670033	3	134346492	138170972	2
HCC6046	SRR3670033	3	138664717	140401973	2
HCC6046	SRR3670033	3	140406546	141164798	4
HCC6046	SRR3670033	3	141290219	150129114	2
HCC6046	SRR3670033	3	150263406	170137168	2
HCC6046	SRR3670033	3	170140841	170198898	5
HCC6046	SRR3670033	3	170587771	180320172	2
HCC6046	SRR3670033	3	180372508	186288802	2
HCC6046	SRR3670033	3	186335003	188327666	3
HCC6046	SRR3670033	3	189526029	195492018	2
HCC6046	SRR3670033	3	195505637	195516350	5
HCC6046	SRR3670033	3	195516351	197687363	2
HCC6046	SRR3670033	4	53238	515843	2
HCC6046	SRR3670033	4	517184	1843577	1
HCC6046	SRR3670033	4	1844590	1957988	4
HCC6046	SRR3670033	4	1978142	3015636	2
HCC6046	SRR3670033	4	3227357	3590985	2
HCC6046	SRR3670033	4	3590990	5975536	2
HCC6046	SRR3670033	4	5990298	6031557	6
HCC6046	SRR3670033	4	6037651	10080667	2
HCC6046	SRR3670033	4	10100597	13548886	2
HCC6046	SRR3670033	4	13600574	13606726	4
HCC6046	SRR3670033	4	13614957	16005094	2
HCC6046	SRR3670033	4	16228310	25676166	3
HCC6046	SRR3670033	4	25676170	36261617	2
HCC6046	SRR3670033	4	36285569	37592652	4
HCC6046	SRR3670033	4	37687748	40124844	2
HCC6046	SRR3670033	4	40427792	48493169	2
HCC6046	SRR3670033	4	48501396	88415750	1
HCC6046	SRR3670033	4	88533374	88929525	3
HCC6046	SRR3670033	4	88989038	89670265	1
HCC6046	SRR3670033	4	90872714	140640785	1
HCC6046	SRR3670033	4	140640788	140811003	4
HCC6046	SRR3670033	4	140811109	190905693	1
HCC6046	SRR3670033	5	140384	9123019	2
HCC6046	SRR3670033	5	10250294	23526678	2
HCC6046	SRR3670033	5	23526711	23527927	8
HCC6046	SRR3670033	5	24487762	140308958	2
HCC6046	SRR3670033	5	140346343	140724970	3
HCC6046	SRR3670033	5	140724975	156899970	2
HCC6046	SRR3670033	5	156904637	176316690	2
HCC6046	SRR3670033	5	176395552	180687851	2
HCC6046	SRR3670033	6	203388	44218148	2
HCC6046	SRR3670033	6	44220903	70071390	3
HCC6046	SRR3670033	6	70500232	163587333	2
HCC6046	SRR3670033	6	163600096	170871464	2
HCC6046	SRR3670033	7	193415	6661261	1
HCC6046	SRR3670033	7	6661468	64453176	2
HCC6046	SRR3670033	7	64852733	76610517	1
HCC6046	SRR3670033	7	76619593	88424105	2
HCC6046	SRR3670033	7	88962651	95157533	4
HCC6046	SRR3670033	7	95225305	100610390	2
HCC6046	SRR3670033	7	100634877	100780453	4
HCC6046	SRR3670033	7	100802162	102389966	2
HCC6046	SRR3670033	7	102574241	127732127	3
HCC6046	SRR3670033	7	127954674	141177062	3
HCC6046	SRR3670033	7	141364680	144098649	4
HCC6046	SRR3670033	7	144098877	158890004	3
HCC6046	SRR3670033	8	182713	18623068	2
