cytoband	16p13.3	4q22.1	20p12.1	6q26	3p14.2	16q23.1	5q12.1	1p33	3q26.31	1p36.11	18q21.2	6p25.3	8p23.2	4q35.1	10q21.1	10q23.31	8p22	15q22.33	18q22.1	7q31.1	19p13.3	17p12	21q11.2	22q13.32	5q22.2	5q21.2	15q21.1	1p13.2	17q24.3	8q11.1	10q25.2	12p13.1	21q21.1	18p11.31	18q12.2	2q22.1	15q11.2	14q11.2	2p12	3p26.3	5q23.3	4p16.1	9p21.3	14q31.1	11q22.3	15q15.2	12q21.33	10p15.3	
q value	7.1275e-161	1.6328e-72	7.4428e-69	5.0018e-57	2.1419e-41	1.4872e-36	1.2817e-38	1.2029e-39	1.0575e-33	8.1773e-35	8.1773e-35	1.2064e-21	2.3113e-24	9.214e-21	7.3805e-17	3.3439e-16	6.1032e-20	1.699e-09	1.8478e-20	6.8187e-07	9.7574e-06	1.0196e-05	1.1607e-10	1.1047e-05	5.188e-23	1.1167e-18	9.9825e-09	4.9123e-06	0.0066215	0.0068234	7.0131e-09	0.013194	5.6375e-06	0.02641	8.7354e-12	0.056561	2.3247e-06	0.061898	0.067712	0.0013974	2.1985e-05	0.095452	0.10162	0.11296	0.11519	3.1468e-08	0.14857	0.21349	
residual q value	7.1275e-161	2.1034e-69	7.4428e-69	5.0018e-57	3.1411e-40	1.4872e-36	2.2366e-35	1.9498e-34	1.0575e-33	2.4562e-30	2.8272e-27	1.2064e-21	7.347e-18	2.1559e-15	9.2479e-15	7.3845e-10	3.1827e-09	1.6122e-08	6.7028e-08	6.4191e-07	9.7574e-06	1.0173e-05	1.1047e-05	1.1047e-05	8.8841e-05	0.00023646	0.0025223	0.0046129	0.0064913	0.0067824	0.0094679	0.013442	0.01877	0.026014	0.028671	0.055598	0.055598	0.059658	0.065098	0.072437	0.078977	0.096171	0.1026	0.11267	0.11821	0.14366	0.15041	0.21884	
wide peak boundaries	chr16:5144019-7780235	chr4:91271445-93240505	chr20:14301156-15274325	chr6:161693099-163153207	chr3:59701447-61547330	chr16:78098006-79031486	chr5:58998410-59780946	chr1:49615826-50514967	chr3:174345545-175760559	chr1:26527443-27708281	chr18:48472083-48650073	chr6:1608837-2624052	chr8:2112968-4985851	chr4:179280062-186507186	chr10:53057593-53461574	chr10:89313008-90348818	chr8:15092726-25700626	chr15:67067796-67494822	chr18:65181982-66383463	chr7:110746146-111366370	chr19:1033227-1907478	chr17:11060240-12456081	chr21:1-15447211	chr22:48668761-51304566	chr5:109202065-113699666	chr5:98261106-107071504	chr15:44994070-45026122	chr1:95709569-119802060	chr17:68173089-70642789	chr8:42883855-47750537	chr10:109217853-116193166	chr12:9405724-18235892	chr21:19854546-26470028	chr18:1408050-5145388	chr18:36593175-39537209	chr2:140708948-143637838	chr15:1-40245778	chr14:1-48291746	chr2:76821134-79697981	chr3:1-21472074	chr5:107004774-135554491	chr4:1-13571866	chr9:1-24553396	chr14:60979360-107349540	chr11:102494467-126859156	chr15:35837949-44164004	chr12:71029284-107717429	chr10:1-3183746	
genes in wide peak	SNORA40|ENSG00000252138.1	RN7SKP248	RNA5SP475	PARK2	U3|ENSG00000212211.1	PIH1	FKSG52	snoU13|ENSG00000239144.1	snoU13|ENSG00000271842.1	GPN2	RN7SL695P	FOXC1	RN7SL872P	PDLIM3	MIR605	SNORD74|ENSG00000200891.1	RN7SL651P	SMAD3	TMX3	snoU13|ENSG00000238922.1	MIR1909	MIR744	RNA5SP488	ARSA	RN7SKP89	RN7SL782P	B2M	snoU13|ENSG00000238679.1	LINC00511	RN7SKP41	RN7SL384P	ERP27	RN7SL609P	snoU13|ENSG00000238790.1	LINC00669	RN7SL283P	snoU13|ENSG00000238564.1	LINC00648	REG1P	RNY4P22	FBXL21	HSP90AB2P	DMRTA1	RNA5SP389	MIR3167	HYPK	C12orf45	LINC00701	
	RBFOX1		FLRT3		NPCDR1		MIR582		MIR4789	ZDHHC18	SMAD4	GMDS	RNA5SP251	UFSP2	CSTF2T	PTEN	NEFL				ONECUT3	RPL21P122	ANKRD20A11P	RN7SL500P	RNU4ATAC13P	SNORA31|ENSG00000252337.1		RNA5SP56	SOX9	U3|ENSG00000201329.1	VWA2	ART4	LINC00308	snoU13|ENSG00000238445.1	RN7SKP182	LRP1B	THBS1	SNORA25|ENSG00000251735.1	RNA5SP98	MIR3135A	TIFAB	RNA5SP156	RN7SL151P	LINC00221	snoU13|ENSG00000238855.1	CATSPER2P1	MIR3922	LINC00700	
					FHIT				RN7SKP40	RN7SL165P	ELAC1		CSMD1	SNORD79		RN7SL78P	SNORA67|ENSG00000207027.1				UQCR11	RN7SL601P	CYP4F29P	DENND6B	ZRSR1	RNA5SP189		WDR3		POTEA	NHLRC2	C12orf60	LINC00317	RN7SL39P			FAM98B	LINC00871	RN7SKP164	U7|ENSG00000271841.1	MIR4461	HS3ST1	SNORD39|ENSG00000264379.1	LINC00226	RN7SL351P	snoU13|ENSG00000238494.1	RNA5SP370	ADARB2	
										RN7SL501P				RN7SL28P		CFL1P1	FP15737				RN7SL477P	DNAH9	ANKRD30BP2	TTLL8	SRP19	RN7SL255P		SNORA40|ENSG00000212266.1		FNTA	SNORA17|ENSG00000212589.1	RN7SKP134	LINC00320	snoU13|ENSG00000238863.1			U3|ENSG00000212511.1	SNORD127	REG3A	LINC00690	MIR4461	CLNK	MIR31HG	ADAM6	KRT18P59	snoU13|ENSG00000238535.1	HCFC2	MIR5699	
										snoU13|ENSG00000238316.1				snoU13|ENSG00000239116.1		PAPSS2	SLC25A37				NDUFS7	MAP2K4	BAGE2	ALG12	FLJ11235	LINC00491		MAN1A2		SGK196	MIR4295	PLBD1	RN7SKP147	SNORA70|ENSG00000252258.1			CSNK1A1P1	SNORD58	REG1A	DPH3	PCBD2	RNA5SP155	IFNA6	KIAA0125	SLC37A2	RN7SL487P	MIR3652	RN7SL754P	
										RN7SL679P				snoU13|ENSG00000238596.1		RNLS	TNFRSF10A				C19orf24	ZNF18	SNORA70|ENSG00000252199.1	RN7SKP252	SNORA13	LINC00492		MIR942		HGSNAT	GUCY2GP	RPL30P11	NCAM2	EMILIN2			MIR3942	snoU13|ENSG00000238501.1	REG1B	RN7SL4P	RN7SL541P	MIR3138	KLHL9	IGHJ1	RNA5SP352	CCNDBP1	snoU13|ENSG00000238914.1	RNA5SP298	
										MIR1976				snoU13|ENSG00000238319.1		ATAD1	RN7SL303P				POLR2E	SHISA6	RN7SL52P	ACR	RN7SKP57	RN7SKP68		TTF2			MIR548E	RN7SL676P	MIR548X	snoU13|ENSG00000238425.1			ANP32AP1	SNORA31|ENSG00000251858.1	LRRTM4	MIR3134	PPP2CA	RNA5SP154	PTPLAD2	IGHJ2	TBRG1	snoU13|ENSG00000239025.1	U8|ENSG00000212594.1	RNA5SP297	
