Gene_symbol	GENEID	EnsembleID	Description	Chromomsome	Position	Start	End	GENE_TYPE	Source
ABCG2	9429	ENSG00000118777	ATP-binding cassette, sub-family G (WHITE), member 2 [Source:HGNC Symbol;Acc:74]	4	4q22.1	89011416	89152474	TSG	TSGene
ABI2	10152	ENSG00000138443	abl-interactor 2 [Source:HGNC Symbol;Acc:24011]	2	2q33.2	204192942	204312446	TSG	TSGene
ACHE	43	ENSG00000087085	acetylcholinesterase (Yt blood group) [Source:HGNC Symbol;Acc:108]	7	7q22.1	100487615	100494594	TSG	TSGene
ACVR1C	130399	ENSG00000123612	activin A receptor, type IC [Source:HGNC Symbol;Acc:18123]	2	2q24.1	158383279	158485517	TSG	TSGene
ACY1	-1213	ENSG00000243989	aminoacylase 1 [Source:HGNC Symbol;Acc:177]	3	3p21.2	52009066	52023213	TSG	TSGene
ADAMTS18	170692	ENSG00000140873	ADAM metallopeptidase with thrombospondin type 1 motif, 18 [Source:HGNC Symbol;Acc:17110]	16	16q23.1	77281710	77469011	TSG	TSGene
ADAMTS8	11095	ENSG00000134917	ADAM metallopeptidase with thrombospondin type 1 motif, 8 [Source:HGNC Symbol;Acc:224]	11	11q24.3	130274820	130298888	TSG	TSGene
ADAMTS9	56999	ENSG00000163638	ADAM metallopeptidase with thrombospondin type 1 motif, 9 [Source:HGNC Symbol;Acc:13202]	3	3p14.1	64501333	64673676	TSG	TSGene
ADARB1	104	ENSG00000197381	adenosine deaminase, RNA-specific, B1 [Source:HGNC Symbol;Acc:226]	21	21q22.3	46493768	46646478	TSG	TSGene
ADPRH	141	ENSG00000144843	ADP-ribosylarginine hydrolase [Source:HGNC Symbol;Acc:269]	3	3q13.33	119298115	119308792	TSG	TSGene
AFAP1L2	84632	ENSG00000169129	actin filament associated protein 1-like 2 [Source:HGNC Symbol;Acc:25901]	10	10q25.3	116054583	116164515	TSG	TSGene
AGTR1	185	ENSG00000144891	angiotensin II receptor, type 1 [Source:HGNC Symbol;Acc:336]	3	3q24	148415571	148460795	TSG	TSGene
AHCYL1	10768	ENSG00000168710	adenosylhomocysteinase-like 1 [Source:HGNC Symbol;Acc:344]	1	1p13.3	110527308	110566357	TSG	TSGene
AHNAK	79026	ENSG00000124942	AHNAK nucleoprotein [Source:HGNC Symbol;Acc:347]	11	11q12.3	62201016	62323707	TSG	TSGene
AHR	196	ENSG00000106546	aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:348]	7	7p21.1	17338246	17385776	TSG	TSGene
AHRR	57491	ENSG00000063438	aryl-hydrocarbon receptor repressor [Source:HGNC Symbol;Acc:346]	5	5p15.33	304291	438406	TSG	TSGene
AIF1	199	ENSG00000204472	allograft inflammatory factor 1 [Source:HGNC Symbol;Acc:352]	6	6p21.33	31582961	31584798	TSG	TSGene
AIM2	9447	ENSG00000163568	absent in melanoma 2 [Source:HGNC Symbol;Acc:357]	1	1q23.1	159032274	159116886	TSG	TSGene
AIMP1	9255	ENSG00000164022	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1 [Source:HGNC Symbol;Acc:10648]	4	4q24	107236701	107270383	TSG	TSGene
AIMP2	7965	ENSG00000106305	aminoacyl tRNA synthetase complex-interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:20609]	7	7p22.1	6048876	6063465	TSG	TSGene
AIP	9049	ENSG00000110711	aryl hydrocarbon receptor interacting protein [Source:HGNC Symbol;Acc:358]	11	11q13.2	67250512	67258574	TSG	TSGene
AJAP1	55966	ENSG00000196581	adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:30801]	1	1p36.32	4714792	4852594	TSG	TSGene
AKAP12	9590	ENSG00000131016	A kinase (PRKA) anchor protein 12 [Source:HGNC Symbol;Acc:370]	6	6q25.1	151561134	151679692	TSG	TSGene
AKR1B1	231	ENSG00000085662	aldo-keto reductase family 1, member B1 (aldose reductase) [Source:HGNC Symbol;Acc:381]	7	7q33	134127102	134144036	TSG	TSGene
ALDH1A2	8854	ENSG00000128918	aldehyde dehydrogenase 1 family, member A2 [Source:HGNC Symbol;Acc:15472]	15	15q21.3	58245622	58790065	TSG	TSGene
ALOX15	246	ENSG00000161905	arachidonate 15-lipoxygenase [Source:HGNC Symbol;Acc:433]	17	17p13.2	4534197	4545589	TSG	TSGene
ALOX15B	247	ENSG00000179593	arachidonate 15-lipoxygenase, type B [Source:HGNC Symbol;Acc:434]	17	17p13.1	7942335	7952452	TSG	TSGene
ALPL	249	ENSG00000162551	alkaline phosphatase, liver/bone/kidney [Source:HGNC Symbol;Acc:438]	1	1p36.12	21835858	21904905	TSG	TSGene
AMER1	139285	ENSG00000184675	APC membrane recruitment protein 1 [Source:HGNC Symbol;Acc:26837]	X	Xq11.2	63404997	63425624	TSG	TSGene
AMH	268	ENSG00000104899	anti-Mullerian hormone [Source:HGNC Symbol;Acc:464]	19	19p13.3	2249308	2252072	TSG	TSGene
ANAPC1	64682	ENSG00000153107	anaphase promoting complex subunit 1 [Source:HGNC Symbol;Acc:19988]	2	2q13	112523848	112642267	TSG	TSGene
ANGPTL4	51129	ENSG00000167772	angiopoietin-like 4 [Source:HGNC Symbol;Acc:16039]	19	19p13.2	8428173	8439257	TSG	TSGene
ANP32A	8125	ENSG00000140350	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A [Source:HGNC Symbol;Acc:13233]	15	15q23	69070874	69113236	TSG	TSGene
ANXA1	301	ENSG00000135046	annexin A1 [Source:HGNC Symbol;Acc:533]	9	9q21.13	75766673	75785309	TSG	TSGene
ANXA7	310	ENSG00000138279	annexin A7 [Source:HGNC Symbol;Acc:545]	10	10q22.2	75134859	75173834	TSG	TSGene
